id,text,lang,label,source,is_synthetic,url_count,attachments_count,hops_count,persuasion_authority,persuasion_social_proof,persuasion_liking_similarity_deception,persuasion_commitment_integrity_reciprocation,persuasion_distraction,threat_vector_note
37371404b45fdc0c25156268e9be37c99aa6a8ad4798dcb9dd5a384647659e40,"Atención: Tiene un paquete que no ha sido recibido. Se ha producido un error en la entrega",es,1,spaphish,False,5,0,2,1,0,1,0,1,
3521c1a1ab868e1349bfc785c16f9a4d88269beadf6e862f69c822cd2fa479af,"Aviso de seguridad: El acceso a su cuenta Financiera El Corte Ingles está suspendido temporalmente. Estimado Cliente, Hemos detectado actividad inusual",es,1,spaphish,False,3,0,2,1,0,1,0,1,
3c51c932faeed8bbd33383012e61c6b8928497b8a64555f3146fd793f253ba05,"Ezequiela Miguelina - FedEx tiene un paquete con tu nombre. Reclámalo ahora. ID#6072",es,1,spaphish,False,4,0,2,1,0,1,0,1,
85903974ce2260bc25729dc80f30a624c3a8e29423491f98792df86adcc18276,"Has sido seleccionado para obtener una recompensa exclusiva! amazon Encuesta de compradores 2018",es,1,spaphish,False,13,0,4,1,0,1,1,1,
65d78c8eb4ca67b3e5d0cb7061a8d9848f34fd8b83687d8f1597711712e42a20,"ÚLTIMA ALERTA: ¡TODAS TUS FOTOS SERÁN BORRADAS! iCloud No se pudo renovar su almacenamiento",es,1,spaphish,False,5,0,3,1,0,1,0,1,
131d5737b8f552dac26488cb0763e60fd6399c34369e931725564b35ba9e4e3b,"Su cuenta de DocuSign se encuentra suspendida. Notificación importante",es,1,spaphish,False,4,0,6,1,0,1,0,1,
6fef66810b856fedf4673170fdc66b4154ecaa13cdbe54c0dab05cee5642f765,"Missxtranger ! Su cuenta Prime será eliminada hoy ¡tome acción! Su suscripción a Prime expiró",es,1,spaphish,False,5,0,3,1,0,1,0,1,
187f544bbc37c3cf844e87a1ad2f4170bc186e22fe8dab840c30797c2513f531,"Urgente: Missxtranger ¡Tu cuenta de Netflix vencerá hoy! ¡Su cuenta será suspendida!",es,1,spaphish,False,4,0,3,1,0,1,0,1,
2b9e167fa4419ec00fc8b813bd1249108e00462b43e9ba6739ba655f78961536,">>Pablito!! - Tienes un paquete pendiente de entrega. FedEx - Fecha de envío: 13-04-2025",es,1,spaphish,False,4,0,3,1,0,1,0,1,
5d5f95932f729e00001af73b851062360f95e62bbfe2f55d0632d21b65de3a28,"Pancracio Su paquete está listo para la entrega. SERVICIO ENTREGA ¡ENTREGA DEL PAQUETE SUSPENDIDO!",es,1,spaphish,False,5,0,2,1,0,1,0,1,
benign001,"Hola, ¿cómo estás? Solo quería confirmar la reunión de mañana a las 10 am. Saludos",es,0,spaphish,False,0,0,0,0,0,0,0,0,
benign002,"Gracias por tu correo. He revisado el documento y todo parece correcto. Lo enviaré al equipo.",es,0,spaphish,False,0,0,1,0,0,0,0,0,
benign003,"Hola equipo, les adjunto el reporte mensual. Por favor revisen y me envían sus comentarios.",es,0,spaphish,False,1,1,0,0,0,0,0,0,
benign004,"Buenos días, este es un recordatorio de la reunión de esta tarde a las 3pm. ¡Saludos!",es,0,spaphish,False,0,0,0,0,0,0,0,0,
benign005,"Confirmo mi asistencia al evento. Por favor envíen la agenda. Muchas gracias.",es,0,spaphish,False,0,0,0,0,0,0,0,0,
benign006,"Hola, he actualizado el archivo compartido. Puedes revisarlo cuando tengas tiempo. Gracias.",es,0,spaphish,False,0,0,0,0,0,0,0,0,
benign007,"Buenas tardes, solo quería agradecerles por su excelente trabajo este mes. ¡Buen fin de semana!",es,0,spaphish,False,0,0,0,0,0,0,0,0,
benign008,"Hola, he recibido tu factura y ya la he procesado. El pago se realizará en los próximos días.",es,0,spaphish,False,0,1,0,0,0,0,0,0,
benign009,"Gracias por la invitación. Me encantaría asistir. ¿Podrían enviarme la dirección exacta?",es,0,spaphish,False,0,0,0,0,0,0,0,0,
benign010,"Hola, he terminado el informe que pediste. Lo adjunto aquí para tu revisión. Saludos.",es,0,spaphish,False,1,1,0,0,0,0,0,0,
